busco_id	scf	length	assignment	assignment_group	fction
47at50557	NODE_861:20448-42284	3554	A	A	Immunoglobulin-like domain
547at50557	NODE_1311:9780-23590	1555	X	X	protein unc-80 homolog
755at50557	NODE_1280:9036-28083	2206	A	A	SRCR-like domain
767at50557	NODE_6033:2056-15926	2012	A	A	WD40-repeat-containing domain
888at50557	NODE_2175:5586-16827	1708	L	A-L-L	probable ubiquitin carboxyl-terminal hydrolase FAF-X
888at50557	NODE_3126:10758-26512	1739	A	A-L-L	probable ubiquitin carboxyl-terminal hydrolase FAF-X
888at50557	NODE_8443:1237-12465	1518	L	A-L-L	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	NODE_9319:1-10715	1227	L	L	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	NODE_4716:4982-13737	1983	A	A	pre-mRNA-processing-splicing factor 8
1451at50557	NODE_2062:5238-14819	1966	A	A	small subunit processome component 20 homolog
1593at50557	NODE_5981:1264-16194	984	NA		cadherin-89D
1621at50557	NODE_102:42662-60462	2197	A	A	GPCR, family 2, extracellular hormone receptor domain
1997at50557	NODE_3884:14561-23483	1512	X	X	protein sidekick isoform X1
2098at50557	NODE_16195:1145-6082	556	A	A	pecanex-like protein 1 isoform X1
2101at50557	NODE_3818:336-11289	1364	X	X	serine/threonine-protein kinase SMG1
2110at50557	NODE_5899:2836-10211	1267	A	A	proteasome-associated protein ECM29 homolog
2168at50557	NODE_4352:3977-18609	883	A	A	DNA polymerase
2187at50557	NODE_25:144750-153487	2056	L	L-L-X	eIF-2-alpha kinase activator GCN1
2187at50557	NODE_376:45732-56314	2075	X	L-L-X	eIF-2-alpha kinase activator GCN1
2187at50557	NODE_611:39224-47254	1940	L	L-L-X	eIF-2-alpha kinase activator GCN1
2339at50557	NODE_469:2276-13956	1416	A	A	Clathrin heavy chain
2418at50557	NODE_553:13471-29799	1309	L	A-L	trichohyalin isoform X1
2418at50557	NODE_1180:16384-27508	1355	A	A-L	trichohyalin isoform X1
2648at50557	NODE_759:40650-54127	1128	L	L	Ankyrin repeat-containing domain
2741at50557	NODE_1994:14554-21314	1059	A	A	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2744at50557	NODE_2314:16769-30306	1801	A	A	dnaJ homolog subfamily C member 13
2843at50557	NODE_2082:5226-18319	1101	A	A-L	nucleosome-remodeling factor subunit NURF301 isoform X1
2843at50557	NODE_13:36680-57274	941	L	A-L	nucleosome-remodeling factor subunit NURF301 isoform X1
3565at50557	NODE_6554:1-5435	748	L	A-L	DENN domain-containing protein 4C isoform X1
3565at50557	NODE_15204:696-6603	782	A	A-L	DENN domain-containing protein 4C isoform X1
4042at50557	NODE_8424:1506-9769	796	X	X	attractin-like protein 1
4137at50557	NODE_8383:1-12623	606	A	A	Thioredoxin domain
4709at50557	NODE_10419:1-5215	1012	A	A	nuclear pore complex protein Nup155
4831at50557	NODE_8423:1-9685	1037	A	A	chromodomain-helicase-DNA-binding protein 1
5495at50557	NODE_9102:4391-10265	1102	X	X	splicing factor 3B subunit 1
5928at50557	NODE_4376:4736-12914	1192	X	X	E3 ubiquitin-protein ligase UBR2
6239at50557	NODE_2618:11666-20649	1241	X	X	Brefeldin A-inhibited guanine nucleotide-exchange protein 3
6416at50557	NODE_7252:4436-13030	1045	A	A-L	vigilin
6416at50557	NODE_1517:33642-40774	974	L	A-L	vigilin
6417at50557	NODE_12527:3363-7755	473	A	A	transcription initiation factor TFIID subunit 2
6568at50557	NODE_18454:1-5123	638	A	A	cullin-associated NEDD8-dissociated protein 1
7053at50557	NODE_5488:9080-15850	711	X	L-X	Transmembrane protein 132
7053at50557	NODE_15:167519-173199	655	L	L-X	Transmembrane protein 132
7307at50557	NODE_9472:1-9775	762	L	A-L	leucine--tRNA ligase, cytoplasmic
7307at50557	NODE_9592:5856-10446	789	A	A-L	leucine--tRNA ligase, cytoplasmic
7320at50557	NODE_6322:3171-14819	824	A	A	JNK-interacting protein 3 isoform X1
7376at50557	NODE_6303:5219-16108	996	A	A-L	Leucine-rich repeat
7376at50557	NODE_4119:2267-18775	930	L	A-L	Leucine-rich repeat
7426at50557	NODE_7542:4997-9865	750	X	X	DNA polymerase subunit gamma-1, mitochondrial
7704at50557	NODE_4374:13841-20868	908	X	X	rapamycin-insensitive companion of mTOR
7835at50557	NODE_5416:2201-6635	705	X	X	regulator of nonsense transcripts 2
7968at50557	NODE_2010:21394-31754	613	A	A	WASH complex subunit 7
8280at50557	NODE_11580:1-6491	555	X	X	chaoptin
8312at50557	NODE_12641:3705-7965	693	A	A	Elongator complex protein 1
8417at50557	NODE_6132:4114-12630	847	A	A	integrator complex subunit 2
8547at50557	NODE_4702:1349-8497	579	A	A	tyrosine-protein kinase hopscotch
8602at50557	NODE_5469:1703-10545	699	A	A	Zona pellucida domain
8655at50557	NODE_1639:18862-26527	1123	A	A	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
8717at50557	NODE_1729:389-10945	1074	A	A	Ras guanine-nucleotide exchange factor catalytic domain superfamily
